pair_seed,subset_size,subset_pair_M_mean_heterogeneous_sampled,subset_pair_M_mean_homogeneous_anchor,subset_pair_W_mean_heterogeneous_sampled,subset_pair_W_mean_homogeneous_anchor,hetero_minus_hom_subset_pair_M_mean,hetero_minus_hom_subset_pair_W_mean
101,2,0.006035970734798742,8.033010841077918e-06,0.33846664459952,0.08272308625545619,0.0060279377239576635,0.2557435583440638
101,4,0.00574970381219738,0.006692542397311566,0.2990774837060477,0.0557827458954745,-0.0009428385851141859,0.2432947378105732
101,8,0.0038677198196081946,0.0028080002817115666,0.2508063954215087,0.08692348963476533,0.001059719537896628,0.16388290578674336
101,16,0.01143351078035459,0.0033711597461687803,0.1856501017752045,0.08144454994377036,0.00806235103418581,0.10420555183143414
101,32,0.0013730638529380335,3.755470659450033e-06,0.11474192830169308,0.0819394686290997,0.0013693083822785834,0.032802459672593376
201,2,0.006823102560477847,0.002688550552248925,0.17180295079526986,0.09579543406865532,0.0041345520082289216,0.07600751672661454
201,4,0.0024531517447451,0.0016488872390526155,0.1852703691466051,0.08505565386778034,0.0008042645056924845,0.10021471527882476
201,8,0.004228506925358334,0.002304120920987147,0.1690249735914635,0.14981495748470453,0.0019243860043711872,0.019210016106758987
201,16,0.007303004918439315,0.009839833894451097,0.20900406810171457,0.17702540349383708,-0.0025368289760117823,0.03197866460787749
201,32,0.004840476823458534,0.001666091591605079,0.06219807127022164,0.04470745255960258,0.003174385231853455,0.017490618710619056
202,2,0.019284440574287087,0.007262421078949235,0.2082456752505617,0.13769902273080736,0.012022019495337852,0.07054665251975434
202,4,0.013441308263326892,0.00945563518743896,0.3496658060492485,0.11907346688295052,0.003985673075887932,0.230592339166298
202,8,0.01267865170646853,0.00489150821774203,0.2983720180968468,0.08099912197222507,0.0077871434887265,0.21737289612462174
202,16,0.012946469858101037,0.010648172814145339,0.3563006875847543,0.12005044872351162,0.002298297043955698,0.2362502388612427
202,32,0.001289871284350097,0.0049076627878252635,0.15317900270218943,0.14357781043737888,-0.0036177915034751665,0.009601192264810543
210,2,0.01631778640561012,0.006313735662708005,0.18229943805844626,0.11531634076982587,0.010004050742902115,0.06698309728862038
210,4,0.006343933764574104,0.00019988836550248004,0.20512787229350882,0.030826781746168774,0.006144045399071624,0.17430109054734005
210,8,0.00804694160390504,0.0030969019485347932,0.28727763309877347,0.0532976378734125,0.0049500396553702475,0.23397999522536098
210,16,0.007927237495765455,0.0018932509253627502,0.19518173409856931,0.06543771527215032,0.006033986570402705,0.129744018826419
210,32,0.023564300568660657,0.00014304877948638842,0.29826945549858375,0.017349422584496527,0.023421251789174268,0.28092003291408724
211,2,0.010647920330046357,0.0012206737569279886,0.19825871381903196,0.1118018091190896,0.009427246573118367,0.08645690469994236
211,4,0.0004734281196233601,0.0020590248687766912,0.10207806032001472,0.06644816463182475,-0.001585596749153331,0.03562989568818997
211,8,0.0016430676517788605,0.003054508745729167,0.06438882308643461,0.08083056490395876,-0.0014114410939503063,-0.016441741817524155
211,16,0.004052417013508401,0.0010946286009613773,0.12563951380238003,0.08488317130387966,0.0029577884125470237,0.04075634249850037
211,32,-4.914346633699829e-05,0.009449898052228622,0.03956168031044657,0.08416379461001827,-0.00949904151856562,-0.0446021142995717
221,2,0.005484921975204375,0.0011694542378794897,0.08336626867005958,0.08165499348239152,0.004315467737324885,0.0017112751876680599
221,4,0.00021592851890237888,0.0015082538075386204,0.06028957777995353,0.1169365987380418,-0.0012923252886362414,-0.05664702095808827
221,8,0.0012104904912612277,0.006091671524576692,0.21406834126803656,0.07416330711302925,-0.004881181033315464,0.13990503415500732
221,16,0.0026726416558041344,0.007001861353526197,0.12334018930747899,0.10938368577964207,-0.004329219697722063,0.013956503527836922
221,32,9.337102061438007e-05,2.7186905871327827e-05,0.14953326759860341,0.1067658052571775,6.618411474305225e-05,0.04276746234142591
231,2,1.185605428705161e-05,0.014334114131389492,0.0822267296205475,0.1769860735265453,-0.01432225807710244,-0.0947593439059978
231,4,0.002885081768221373,0.005834980201900062,0.10022220541989535,0.055812348784789155,-0.0029498984336786887,0.044409856635106194
231,8,0.003461938891560912,0.010610562679533928,0.09539230726214265,0.08968397369422977,-0.0071486237879730165,0.005708333567912879
231,16,0.005261343791746184,0.0007652155340285965,0.12067621309573633,0.08423692655200894,0.004496128257717588,0.036439286543727384
231,32,0.0009552127947767275,0.005951081387196688,0.06861661229495934,0.025587254059448356,-0.004995868592419961,0.04302935823551099
241,2,1.6931429146012828e-05,-2.4921083035646153e-05,0.18025144967917983,0.04444164473654728,4.185251218165898e-05,0.13580980494263256
241,4,0.0032398644341063306,0.00911332648759153,0.11768020484773044,0.09855713479145212,-0.005873462053485198,0.01912307005627832
241,8,0.00371841022761644,0.010015734860396563,0.09635031488062974,0.11005101784891229,-0.006297324632780123,-0.013700702968282547
241,16,0.0019270571892511619,0.0059393869332761045,0.05673246051556304,0.09089627404572793,-0.004012329744024943,-0.03416381353016489
241,32,0.020556273205823063,0.0016679898909545045,0.25630255950859215,0.0848724751152336,0.01888828331486856,0.17143008439335855
340,2,0.003644377493638218,0.001595167009070105,0.14835978383633472,0.055017980128428144,0.002049210484568113,0.09334180370790657
340,4,0.003576534443168367,0.003630569748818996,0.1770856866864737,0.10735686592521738,-5.403530565062896e-05,0.06972882076125632
340,8,0.004856429210144064,0.001139191020679967,0.13648579199529712,0.050429861965354754,0.0037172381894640975,0.08605593002994236
340,16,0.00615521942876195,0.0019994082161919,0.17886633243778338,0.06427432006483273,0.004155811212570051,0.11459201237295065
340,32,0.0002583985978999448,0.0016898845884868903,0.07292738016215142,0.01864229148845875,-0.0014314859905869455,0.054285088673692666
440,2,0.0007919052503055033,5.9720439233422e-05,0.047510195652482774,0.09071140103227787,0.0007321848110720813,-0.0432012053797951
440,4,0.0007243810338120974,0.00568707482960572,0.06736538544981119,0.09631076220432293,-0.004962693795793623,-0.02894537675451174
440,8,0.0014858199478349939,0.00225424238568022,0.07983363985836782,0.10761588596719411,-0.0007684224378452262,-0.027782246108826292
440,16,0.000998538761055576,0.005504151386480656,0.054335026920005976,0.09359387926329447,-0.004505612625425081,-0.0392588523432885
440,32,0.012192059069792122,0.005098291462371174,0.07785428523686376,0.04002567849271206,0.007093767607420948,0.0378286067441517
