pair_role,pair_role_label,subset_size,subset_pair_M_mean_mean,subset_pair_M_mean_std,subset_pair_W_mean_mean,subset_pair_W_mean_std,subset_pair_TDMI_mean_mean,final_test_acc_mean,n_models
heterogeneous_sampled,Heterogeneous sampled,2,0.006905921280780131,0.006679999918921828,0.1640787849981434,0.08248428106434762,0.17098470627892354,0.7856448763250883,10
heterogeneous_sampled,Heterogeneous sampled,4,0.003910331590267739,0.0039368894033391996,0.1663862651699289,0.09724967793676978,0.17029659676019665,0.7856448763250883,10
heterogeneous_sampled,Heterogeneous sampled,8,0.00451979764755366,0.003493238191788022,0.1692000238559501,0.08825288211794698,0.17371982150350376,0.7856448763250883,10
heterogeneous_sampled,Heterogeneous sampled,16,0.0060677440892787805,0.003946591120128408,0.16057263276391903,0.08761273143420631,0.16664037685319782,0.7856448763250883,10
heterogeneous_sampled,Heterogeneous sampled,32,0.006507388375197656,0.009012284960027839,0.12931842428843046,0.08688082207267342,0.13582581266362811,0.7856448763250883,10
homogeneous_anchor,Homogeneous anchor,2,0.0034626948796212093,0.0046044069373125,0.09921477858500245,0.03882278756331407,0.10267747346462366,0.7844081272084805,10
homogeneous_anchor,Homogeneous anchor,4,0.004583018313353724,0.003266927877667634,0.08321605234680222,0.029711875069306188,0.08779907066015595,0.7844081272084805,10
homogeneous_anchor,Homogeneous anchor,8,0.004626644258557208,0.0033060543434641973,0.08838098184577864,0.02906372095451956,0.09300762610433584,0.7844081272084805,10
homogeneous_anchor,Homogeneous anchor,16,0.00480570694045928,0.0035681663875020034,0.09712263744426552,0.032924635062802896,0.1019283443847248,0.7844081272084805,10
homogeneous_anchor,Homogeneous anchor,32,0.003060489091668539,0.003154586000689155,0.06476314532336262,0.042131921250662216,0.06782363441503117,0.7844081272084805,10
