pair_seed,heterogeneous_sampled,homogeneous_anchor,hetero_minus_hom_acc
101,0.8242049469964664,0.8268551236749117,-0.0026501766784452485
201,0.8648409893992933,0.8449646643109541,0.019876325088339253
202,0.8454063604240283,0.7795936395759717,0.06581272084805656
210,0.8012367491166078,0.730565371024735,0.07067137809187285
211,0.5061837455830389,0.758833922261484,-0.25265017667844514
221,0.8228798586572438,0.8091872791519434,0.01369257950530034
231,0.7623674911660777,0.7336572438162544,0.028710247349823304
241,0.8272968197879859,0.758833922261484,0.06846289752650181
340,0.7915194346289752,0.7530918727915195,0.03842756183745577
440,0.8105123674911661,0.8484982332155477,-0.03798586572438167
