pair_role,pair_role_label,subset_size,M_bits_mean,M_bits_std,W_bits_mean,W_bits_std,final_test_acc_mean,n_models
heterogeneous_sampled,Heterogeneous sampled,2,0.0038209394404983194,0.010780167645440318,1.553036901855261,1.454465319038082,0.7856448763250883,10
heterogeneous_sampled,Heterogeneous sampled,4,0.17473500407800552,0.21527567017575955,2.397872374824451,1.2995980589662826,0.7856448763250883,10
heterogeneous_sampled,Heterogeneous sampled,8,0.6147901734117841,0.335452773035412,3.1576617411611614,0.8267996543921148,0.7856448763250883,10
heterogeneous_sampled,Heterogeneous sampled,16,1.1224011404690994,0.359938882648934,3.6153982357614978,0.6217459796230603,0.7856448763250883,10
heterogeneous_sampled,Heterogeneous sampled,32,2.1616559501636408,0.32444669423711037,4.837522775196495,0.9154304235306677,0.7856448763250883,10
homogeneous_anchor,Homogeneous anchor,2,0.10494795209758052,0.20229030537959466,1.2965720248850678,1.3563263087014257,0.7844081272084805,10
homogeneous_anchor,Homogeneous anchor,4,0.15222999512978028,0.2566173579455131,2.0619122657070026,1.4372486393350352,0.7844081272084805,10
homogeneous_anchor,Homogeneous anchor,8,0.5731301423388524,0.36328020307802994,2.4964279358103,1.0669835229229918,0.7844081272084805,10
homogeneous_anchor,Homogeneous anchor,16,1.1580154321763447,0.2042915440843544,3.03783742970841,0.4172807224939029,0.7844081272084805,10
homogeneous_anchor,Homogeneous anchor,32,2.1605051722974595,0.2561688990133771,3.3980376185032357,0.3220419015377524,0.7844081272084805,10
