network,pair_order,pair_i,pair_j,delay_target_ms,delay_steps,delay_actual_ms,observed_W_bits,observed_M_bits,observed_TDMI_bits,observed_TDMI_counts_bits,M_z_tdmi_null,M_p_upper_tdmi_null,n_null_valid,n_attempts
2class_fittedhet_lu,1,0,15,5.0,1,4.0,0.2272923598947294,0.08931217402258529,0.3166045339173147,0.31660453276063105,0.0024810720879572547,0.5454545454545454,10,10
2class_fittedhet_lu,1,0,15,15.0,4,16.0,0.2532440666911264,0.07192483736548061,0.32516890405660703,0.32516890290005196,0.06655891407054768,0.45454545454545453,10,10
2class_fittedhet_lu,1,0,15,30.0,8,32.0,0.22308885424944824,0.06665478895626409,0.28974364320571233,0.28974364204931324,0.02401083872345202,0.5454545454545454,10,10
2class_fittedhet_lu,1,0,15,60.0,15,60.0,0.16299701370980024,0.04928798610877294,0.21228499981857318,0.21228499866249256,-0.3767854279580123,0.6363636363636364,10,10
2class_fittedhet_lu,2,4,12,5.0,1,4.0,0.1325516077200195,0.0,0.1325516077200195,0.13255160771871977,-2.004947226235246,1.0,10,10
2class_fittedhet_lu,2,4,12,15.0,4,16.0,0.12000592848722147,0.0,0.12000592848722147,0.12000592848598568,-1.8062097813300784,1.0,10,10
2class_fittedhet_lu,2,4,12,30.0,8,32.0,0.10019547013915542,0.0,0.10019547013915542,0.10019547013802844,-2.7395032146286415,1.0,10,10
2class_fittedhet_lu,2,4,12,60.0,15,60.0,0.06253838414414781,0.0,0.06253838414414781,0.06253838414326354,-2.819472859224664,1.0,10,10
2class_fittedhet_lu,3,7,16,5.0,1,4.0,0.008511701823151502,0.0,0.008511701823151502,0.008511701780552244,-1.3873516283858938,1.0,10,10
2class_fittedhet_lu,3,7,16,15.0,4,16.0,0.005279707592048516,0.0,0.005279707592048516,0.005279707561570868,-1.5695677840099862,1.0,10,10
2class_fittedhet_lu,3,7,16,30.0,8,32.0,0.004019738562135083,2.7755575615628914e-17,0.004019738562135111,0.004019738536921076,-1.433443513053406,1.0,10,10
2class_fittedhet_lu,3,7,16,60.0,15,60.0,0.0027283063642967453,0.0,0.0027283063642967453,0.0027283063449844895,-1.3658510876051009,1.0,10,10
2class_fittedhet_lu,4,15,29,5.0,1,4.0,0.1388389578457998,0.0004281893580764251,0.13926714720387623,0.1392671460026434,-2.118316657245553,1.0,10,10
2class_fittedhet_lu,4,15,29,15.0,4,16.0,0.13338699551267164,0.000754147250420667,0.1341411427630923,0.13414114156167944,-1.7428550952861845,1.0,10,10
2class_fittedhet_lu,4,15,29,30.0,8,32.0,0.11455988444022913,0.0011755384556602078,0.11573542289588934,0.11573542170844389,-1.619546656424434,1.0,10,10
2class_fittedhet_lu,4,15,29,60.0,15,60.0,0.08846286528444613,0.0025121457057395435,0.09097501099018568,0.09097500981891304,-1.5517800369211394,1.0,10,10
2class_fittedhet_lu,5,25,26,5.0,1,4.0,0.005112380025928731,0.0,0.005112380025928731,0.005112380025240006,-1.6127002078560237,1.0,10,10
2class_fittedhet_lu,5,25,26,15.0,4,16.0,0.007046556282479743,-2.220446049250313e-16,0.007046556282479521,0.00704655628166374,-1.5689464137287523,1.0,10,10
2class_fittedhet_lu,5,25,26,30.0,8,32.0,0.003959218964040279,0.0,0.003959218964040279,0.003959218963438085,-1.4243492850642694,1.0,10,10
2class_fittedhet_lu,5,25,26,60.0,15,60.0,0.003121899244197479,0.0,0.003121899244197479,0.0031218992436657707,-1.203904769797862,1.0,10,10
